Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707001200.0 10824.8 NA 300 495 0 161 183 NA NA 386 682 0 230 272 NA NA 1505 1729 452 339 556 NA NA 1441 2180 637 558 674 NA
1707001200.0 10825.0 NA 294 485 0 158 182 NA NA 400 706 0 236 272 NA NA 1458 1598 438 333 523 NA NA 829 1832 541 526 638 NA
1707001200.0 10842.0 NA 298 487 0 189 180 NA NA 392 693 0 294 261 NA NA 1485 1642 451 347 523 NA NA 838 2171 625 550 722 NA
1707001200.0 10871.0 NA 298 493 0 160 183 NA NA 396 697 0 236 271 NA NA 1488 1763 451 343 530 NA NA 1238 2179 570 598 622 NA
1707001200.0 110.0 136 181 339 NA NA NA NA 221 256 492 NA NA NA NA 590 317 1485 NA NA NA NA 840 393 1910 NA NA NA NA
1707001200.0 11024.0 NA 558 835 0 183 NA NA NA 757 1185 0 272 NA NA NA 3730 3846 493 553 NA NA NA 1704 2895 664 697 NA NA
1707001200.0 11024.15 NA 545 822 0 194 NA NA NA 735 1133 0 290 NA NA NA 3697 3909 477 675 NA NA NA 1700 3084 558 1179 NA NA
1707001200.0 11024.2 NA 572 823 0 178 NA NA NA 745 1160 0 261 NA NA NA 3743 3912 480 452 NA NA NA 1689 2622 560 583 NA NA
1707001200.0 11024.6 NA 557 835 0 184 NA NA NA 753 1149 0 268 NA NA NA 3629 4106 489 562 NA NA NA 1592 2945 679 830 NA NA
1707001200.0 11025.0 NA 543 786 0 182 NA NA NA 758 1149 0 267 NA NA NA 3551 3722 475 552 NA NA NA 1624 2804 662 696 NA NA
1707001200.0 112.0 167 185 360 NA NA NA NA 280 268 502 NA NA NA NA 1340 312 1450 NA NA NA NA 895 472 1945 NA NA NA NA
1707001200.0 11224.0 NA 263 489 0 NA NA NA NA 350 693 0 NA NA NA NA 390 1753 463 NA NA NA NA 557 2380 676 NA NA NA
1707001200.0 11634.1 NA 275 293 0 NA NA NA NA 369 425 0 NA NA NA NA 429 729 433 NA NA NA NA 772 840 535 NA NA NA
1707001200.0 11634.601 NA 274 105 505 0 NA NA NA 364 168 716 0 NA NA NA 405 130 1908 471 NA NA NA 388 223 2280 731 NA NA
1707001200.0 11634.911 159 269 505 0 162 NA NA 237 354 720 0 239 NA NA 2512 1225 2535 908 486 NA NA 1443 860 2304 991 602 NA NA
1707001200.0 11634.914 151 269 512 0 161 NA NA 233 357 734 0 232 NA NA 2033 427 1885 479 333 NA NA 1098 378 1912 772 422 NA NA
1707001200.0 11650.911 158 267 507 0 184 NA NA 232 344 719 0 280 NA NA 1864 1200 2412 908 823 NA NA 1223 734 2511 1361 834 NA NA
1707001200.0 11650.914 150 262 502 0 183 NA NA 223 351 717 0 267 NA NA 1262 411 1814 467 345 NA NA 941 472 2926 655 458 NA NA
1707001200.0 11846.19 NA 646 945 0 NA NA NA NA 859 1247 0 NA NA NA NA 3430 4980 482 NA NA NA NA 1624 2672 649 NA NA NA
1707001200.0 119.0 171 185 363 NA NA NA NA 279 267 499 NA NA NA NA 1154 313 1466 NA NA NA NA 862 541 2150 NA NA NA NA
1707001200.0 120.0 139 177 342 NA NA NA NA 232 257 481 NA NA NA NA 532 325 1486 NA NA NA NA 547 837 2193 NA NA NA NA
1707001200.0 122.0 131 0 0 NA NA NA NA 214 0 0 NA NA NA NA 537 133 1287 NA NA NA NA 717 263 1872 NA NA NA NA
1707001200.0 123.1 395 NA NA NA NA NA NA 533 NA NA NA NA NA NA 890 NA NA NA NA NA NA 1034 NA NA NA NA NA NA
1707001200.0 123.2 371 NA NA NA NA NA NA 545 NA NA NA NA NA NA 1023 NA NA NA NA NA NA 1432 NA NA NA NA NA NA
1707001200.0 123.3 322 NA NA NA NA NA NA 427 NA NA NA NA NA NA 743 NA NA NA NA NA NA 913 NA NA NA NA NA NA
1707001200.0 124.1 394 NA NA NA NA NA NA 508 NA NA NA NA NA NA 775 NA NA NA NA NA NA 1004 NA NA NA NA NA NA
1707001200.0 124.2 369 NA NA NA NA NA NA 535 NA NA NA NA NA NA 842 NA NA NA NA NA NA 1083 NA NA NA NA NA NA
1707001200.0 124.4 363 NA NA NA NA NA NA 519 NA NA NA NA NA NA 765 NA NA NA NA NA NA 984 NA NA NA NA NA NA
1707001200.0 124.5 394 NA NA NA NA NA NA 517 NA NA NA NA NA NA 784 NA NA NA NA NA NA 981 NA NA NA NA NA NA
1707001200.0 124.6 329 NA NA NA NA NA NA 446 NA NA NA NA NA NA 756 NA NA NA NA NA NA 954 NA NA NA NA NA NA
1707001200.0 12446.0 NA 457 603 0 170 NA NA NA 585 872 0 244 NA NA NA 2693 2485 595 379 NA NA NA 1228 2572 984 692 NA NA
1707001200.0 125.0 170 187 367 NA NA NA NA 300 263 520 NA NA NA NA 1597 325 1485 NA NA NA NA 1013 536 2114 NA NA NA NA
1707001200.0 126.0 140 182 355 NA NA NA NA 229 263 494 NA NA NA NA 973 327 1502 NA NA NA NA 1053 882 2220 NA NA NA NA
1707001200.0 127.0 136 181 353 NA NA NA NA 214 251 496 NA NA NA NA 732 312 1449 NA NA NA NA 854 602 1834 NA NA NA NA
1707001200.0 128.0 135 183 342 NA NA NA NA 210 257 505 NA NA NA NA 517 303 1429 NA NA NA NA 789 292 1821 NA NA NA NA
