Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707001200.0 134.905 NA 63 349 0 NA NA NA 105 614 0 NA NA NA 244 5077 589 NA NA NA 475 3568 751 NA NA
1707001200.0 134.91 NA 59 361 0 NA NA NA 102 650 0 NA NA NA 250 4883 630 NA NA NA 250 3677 895 NA NA
1707001200.0 134.99602 NA 65 360 0 NA NA NA 100 650 0 NA NA NA 262 4840 621 NA NA NA 729 3403 1034 NA NA
1707001200.0 134.99901 NA 66 348 0 NA NA NA 112 680 0 NA NA NA 231 5028 589 NA NA NA 247 3973 784 NA NA
1707001200.0 1343.0 NA 177 335 0 NA NA NA 602 679 0 NA NA NA 662 1830 562 NA NA NA 994 2394 774 NA NA
1707001200.0 1344.0 NA 186 350 0 NA NA NA 602 661 0 NA NA NA 602 1820 558 NA NA NA 945 3002 638 NA NA
1707001200.0 135.12 347 0 154 209 NA NA 826 0 205 292 NA NA 1235 237 556 494 NA NA 1313 633 857 1122 NA NA
1707001200.0 135.14 348 0 152 201 NA NA 828 0 210 336 NA NA 1294 245 579 517 NA NA 2002 509 976 997 NA NA
1707001200.0 135.4 360 0 157 222 NA NA 827 0 203 297 NA NA 1217 236 562 490 NA NA 1696 541 1156 1064 NA NA
1707001200.0 135.5 352 0 150 222 NA NA 828 0 212 293 NA NA 1184 235 557 469 NA NA 1376 423 887 572 NA NA
1707001200.0 1351.0 NA 176 333 0 NA NA NA 602 647 0 NA NA NA 624 1725 548 NA NA NA 529 2678 898 NA NA
1707001200.0 1352.0 NA 175 349 0 NA NA NA 556 630 0 NA NA NA 640 1785 563 NA NA NA 653 2697 805 NA NA
1707001200.0 1355.0 NA 179 353 0 NA NA NA 554 667 0 NA NA NA 676 1840 569 NA NA NA 802 2924 725 NA NA
