Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1706396400.0 1.0 103 108 231 NA NA NA NA NA 180 359 314 NA NA NA NA NA 1498 402 852 NA NA NA NA NA 1074 744 1428 NA NA NA NA NA
1706396400.0 10.0 NA 131 510 0 NA NA NA NA NA 363 574 0 NA NA NA NA NA 2129 2965 467 NA NA NA NA NA 1388 2726 683 NA NA NA NA
1706396400.0 1000.0 NA 437 181 0 66 NA NA NA NA 501 254 0 89 NA NA NA NA 2437 1166 557 236 NA NA NA NA 2433 1506 865 448 NA NA NA
1706396400.0 10001.0 NA 250 704 108 0 NA NA NA NA 475 821 134 0 NA NA NA NA 1232 1997 333 1632 NA NA NA NA 2278 3452 607 2229 NA NA NA
1706396400.0 10002.0 NA 256 700 88 0 NA NA NA NA 480 829 135 0 NA NA NA NA 1257 2038 347 1631 NA NA NA NA 2737 3653 975 2118 NA NA NA
1706396400.0 10003.0 NA 257 701 108 0 NA NA NA NA 481 816 135 0 NA NA NA NA 1284 2055 350 1686 NA NA NA NA 3453 3745 1195 2025 NA NA NA
1706396400.0 10004.0 NA 250 699 108 0 NA NA NA NA 480 828 135 0 NA NA NA NA 1221 2032 338 1645 NA NA NA NA 2060 3891 1056 2163 NA NA NA
1706396400.0 10005.0 NA 251 696 108 0 NA NA NA NA 481 829 134 0 NA NA NA NA 1204 2019 331 1641 NA NA NA NA 2309 3701 705 2070 NA NA NA
1706396400.0 10006.0 NA 248 682 107 0 NA NA NA NA 488 822 133 0 NA NA NA NA 1209 2012 340 1645 NA NA NA NA 1832 3580 938 2157 NA NA NA
1706396400.0 10007.0 NA 250 700 119 0 NA NA NA NA 486 827 145 0 NA NA NA NA 1251 2030 351 1645 NA NA NA NA 1841 3103 645 1853 NA NA NA
1706396400.0 10008.0 NA 232 700 119 0 NA NA NA NA 480 824 145 0 NA NA NA NA 1236 2033 363 1678 NA NA NA NA 1979 3273 1036 2077 NA NA NA
1706396400.0 10009.0 NA 234 701 119 0 NA NA NA NA 481 820 144 0 NA NA NA NA 1267 2054 358 1639 NA NA NA NA 1966 3352 650 1978 NA NA NA
1706396400.0 1001.0 NA 398 202 0 0 0 0 0 NA 462 230 0 0 0 0 0 NA 2091 421 59 76 200 106 198 NA 2503 832 138 314 384 242 322
1706396400.0 1002.0 NA 457 89 NA NA NA NA NA NA 528 122 NA NA NA NA NA NA 2612 402 NA NA NA NA NA NA 2441 430 NA NA NA NA NA
1706396400.0 10023.0 NA 228 697 108 0 NA NA NA NA 474 824 133 0 NA NA NA NA 1223 1974 336 1663 NA NA NA NA 1985 3492 775 1952 NA NA NA
1706396400.0 10024.0 NA 272 718 121 0 NA NA NA NA 488 842 146 0 NA NA NA NA 1411 2260 365 1729 NA NA NA NA 1908 3231 744 2327 NA NA NA
1706396400.0 10024.1 NA 256 296 0 NA NA NA NA NA 474 368 0 NA NA NA NA NA 1459 773 285 NA NA NA NA NA 2485 1111 388 NA NA NA NA
1706396400.0 10024.2 NA 269 696 0 NA NA NA NA NA 488 836 0 NA NA NA NA NA 1382 2229 1703 NA NA NA NA NA 2296 3253 1986 NA NA NA NA
1706396400.0 10024.3 NA 277 269 0 NA NA NA NA NA 488 351 0 NA NA NA NA NA 1386 736 257 NA NA NA NA NA 1852 922 440 NA NA NA NA
1706396400.0 10024.4 NA 276 726 0 NA NA NA NA NA 481 841 0 NA NA NA NA NA 1393 2268 1654 NA NA NA NA NA 1708 3223 1874 NA NA NA NA
1706396400.0 10024.5 NA 274 296 0 NA NA NA NA NA 488 357 0 NA NA NA NA NA 1419 751 284 NA NA NA NA NA 1813 1026 413 NA NA NA NA
1706396400.0 10024.6 NA 274 713 0 NA NA NA NA NA 481 837 0 NA NA NA NA NA 1398 2266 1709 NA NA NA NA NA 1867 3027 2071 NA NA NA NA
1706396400.0 10025.0 NA 262 711 109 0 NA NA NA NA 480 825 136 0 NA NA NA NA 1288 2112 337 1668 NA NA NA NA 2825 3618 736 2028 NA NA NA
1706396400.0 10026.0 NA 279 725 119 0 NA NA NA NA 488 837 145 0 NA NA NA NA 1437 2368 359 1743 NA NA NA NA 1880 3248 801 2096 NA NA NA
1706396400.0 1003.0 NA 352 0 NA NA NA NA NA NA 423 0 NA NA NA NA NA NA 2712 411 NA NA NA NA NA NA 2172 524 NA NA NA NA NA
1706396400.0 1004.0 NA 369 184 0 0 0 0 NA NA 412 213 0 0 0 0 NA NA 1234 321 58 71 198 199 NA NA 1646 361 163 207 261 264 NA
1706396400.0 10042.0 NA 243 709 120 0 NA NA NA NA 489 831 145 0 NA NA NA NA 1325 2133 358 1702 NA NA NA NA 2022 3335 737 1976 NA NA NA
1706396400.0 10059.0 NA 282 730 119 0 NA NA NA NA 481 837 144 0 NA NA NA NA 1509 2753 369 1679 NA NA NA NA 2577 3498 825 1974 NA NA NA
1706396400.0 10071.0 NA 266 697 109 0 NA NA NA NA 489 829 136 0 NA NA NA NA 1338 2202 347 1652 NA NA NA NA 2547 3581 845 1864 NA NA NA
1706396400.0 101.0 110 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 815 NA NA NA NA NA NA NA 895 NA NA NA NA NA NA NA
1706396400.0 1010.0 NA 45 93 0 NA NA NA NA NA 68 120 0 NA NA NA NA NA 89 166 75 NA NA NA NA NA 347 275 123 NA NA NA NA
1706396400.0 102.0 110 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 654 NA NA NA NA NA NA NA 779 NA NA NA NA NA NA NA
1706396400.0 1020.0 NA 59 NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA 198 NA NA NA NA NA NA NA 342 NA NA NA NA NA NA
1706396400.0 10224.0 NA 441 975 0 NA NA NA NA NA 577 1154 0 NA NA NA NA NA 3844 4524 1712 NA NA NA NA NA 4038 4747 2064 NA NA NA NA
