Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 140.113 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 154 1561 854 NA NA NA 249 1777 1058 NA NA
1707084000.0 144.6 NA 365 NA NA NA NA NA 509 NA NA NA NA NA 2492 NA NA NA NA NA 2567 NA NA NA NA
1707084000.0 158.1 NA 275 496 0 NA NA NA 361 683 0 NA NA NA 397 1485 438 NA NA NA 459 1617 481 NA NA
1707084000.0 158.2 NA 269 496 0 NA NA NA 358 678 0 NA NA NA 379 1431 462 NA NA NA 748 1424 630 NA NA
1707084000.0 158.3 NA 271 491 0 NA NA NA 361 676 0 NA NA NA 384 1499 443 NA NA NA 477 1801 486 NA NA
1707084000.0 159.03 141 212 112 278 199 NA 218 294 148 435 268 NA 1085 241 145 494 468 NA 1161 402 705 731 470 NA
1707084000.0 160.0 147 226 461 121 0 NA 222 311 670 184 0 NA 1352 302 1177 223 409 NA 1444 335 1498 335 461 NA
1707084000.0 2017.1 493 0 201 169 NA NA 622 0 278 249 NA NA 929 268 614 396 NA NA 1167 461 1037 397 NA NA
1707084000.0 2018.3 415 0 203 168 NA NA 568 0 283 251 NA NA 807 238 573 388 NA NA 941 381 895 409 NA NA
1707084000.0 2018.9 469 0 201 169 NA NA 630 0 279 258 NA NA 861 260 570 415 NA NA 1184 479 800 464 NA NA
1707084000.0 204.0 154 247 433 0 NA NA 278 329 576 0 NA NA 1733 582 1856 367 NA NA 1254 709 1897 405 NA NA
1707084000.0 205.0 NA 270 445 0 NA NA NA 365 605 0 NA NA NA 566 1867 386 NA NA NA 644 1900 442 NA NA
1707084000.0 24861.0 NA 595 514 0 212 NA NA 740 673 0 296 NA NA 1389 1879 457 649 NA NA 1340 2171 555 863 NA
1707084000.0 24896.0 NA 594 504 0 213 NA NA 730 655 0 309 NA NA 1417 1937 470 646 NA NA 1222 2510 567 826 NA
1707084000.0 2500.002 NA 291 0 NA NA NA NA 480 0 NA NA NA NA 21001 151 NA NA NA NA 6677 234 NA NA NA
1707084000.0 2500.012 NA 262 0 NA NA NA NA 374 0 NA NA NA NA 13695 143 NA NA NA NA 4928 192 NA NA NA
1707084000.0 250200.17 NA 519 567 0 NA NA NA 690 798 0 NA NA NA 6384 2235 441 NA NA NA 2251 2348 511 NA NA
1707084000.0 250200.18 NA 565 596 0 NA NA NA 766 820 0 NA NA NA 7686 2685 478 NA NA NA 2867 2026 546 NA NA
1707084000.0 250202.172 NA 519 585 0 NA NA NA 712 792 0 NA NA NA 6689 2441 448 NA NA NA 2472 2129 485 NA NA
1707084000.0 250208.17 NA 520 614 0 NA NA NA 708 877 0 NA NA NA 6777 3392 462 NA NA NA 2560 2694 505 NA NA
1707084000.0 250403.17 538 0 210 NA NA NA 693 0 289 NA NA NA 1021 252 631 NA NA NA 1050 364 827 NA NA NA
1707084000.0 250408.17 545 0 212 NA NA NA 677 0 283 NA NA NA 1127 261 646 NA NA NA 1507 412 774 NA NA NA
1707084000.0 25200.0 NA 416 660 0 173 NA NA 584 883 0 259 NA NA 1645 2797 377 442 NA NA 1134 2434 671 506 NA
