Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1707084000.0 11634.502 292 304 0 1277 1383 0 287 240 117 502 359 140
1707084000.0 11634.503 293 311 0 1281 1393 0 289 247 121 481 359 147
1707084000.0 11634.504 292 201 NA 1282 1282 NA 284 123 NA 530 210 NA
1707084000.0 11634.506 293 304 0 1277 1399 0 282 242 122 487 359 148
1707084000.0 11634.507 294 311 0 1280 1381 0 291 246 124 502 359 150
1707084000.0 11634.508 292 201 NA 1274 1293 NA 290 125 NA 497 203 NA
1707084000.0 11634.512 293 270 0 1275 1293 0 287 203 87 536 320 112
1707084000.0 11634.513 294 276 0 1274 1295 0 284 201 86 523 318 110
1707084000.0 11634.514 293 230 NA 1277 1249 NA 288 113 NA 525 177 NA
1707084000.0 11634.522 294 267 0 1276 1261 0 286 195 90 508 321 115
1707084000.0 11634.523 292 269 0 1285 1252 0 284 195 86 515 322 111
1707084000.0 11634.524 294 185 NA 1276 1224 NA 286 109 NA 541 184 NA
1707084000.0 11634.582 294 351 0 1270 1468 0 290 288 131 536 377 158
1707084000.0 11634.583 292 361 0 1271 1464 0 285 298 139 508 386 165
1707084000.0 11634.586 294 353 0 1288 1455 0 285 288 134 541 370 160
1707084000.0 11634.587 291 362 0 1276 1464 0 289 297 141 498 383 171
1707084000.0 11634.592 294 677 0 1271 1805 0 295 1077 236 527 997 260
1707084000.0 11634.593 292 689 0 1276 1833 0 287 1098 237 494 997 261
1707084000.0 11634.596 293 680 0 1280 1803 0 289 1094 231 508 1004 255
1707084000.0 11634.597 292 688 0 1284 1836 0 285 1074 237 511 994 262
1707084000.0 11650.502 288 300 0 1273 1370 0 274 228 109 508 347 134
1707084000.0 11650.503 285 308 0 1273 1371 0 265 230 118 474 348 143
1707084000.0 11650.504 286 200 NA 1281 1267 NA 281 126 NA 502 204 NA
1707084000.0 11650.506 288 301 0 1272 1372 0 268 229 114 465 358 139
1707084000.0 11650.507 286 312 0 1270 1392 0 269 227 121 467 359 147
1707084000.0 11650.508 288 200 NA 1274 1293 NA 264 127 NA 479 204 NA
1707084000.0 12434.502 596 324 0 1744 1396 0 1319 272 112 911 313 132
1707084000.0 12434.503 568 333 0 1730 1397 0 1416 271 113 949 307 137
1707084000.0 12434.504 552 NA NA 1741 NA NA 1199 NA NA 908 NA NA
1707084000.0 12434.506 608 325 0 1726 1405 0 1332 270 114 891 307 137
1707084000.0 12434.507 600 334 0 1752 1404 0 1288 273 118 911 340 137
1707084000.0 12434.508 568 281 NA 1737 1357 NA 1330 157 NA 935 217 NA
1707084000.0 12434.512 575 304 0 1745 1338 0 1384 247 83 953 288 104
1707084000.0 12434.513 571 307 0 1765 1334 0 1367 255 82 974 287 109
1707084000.0 12434.514 583 268 NA 1704 1295 NA 1369 148 NA 920 218 NA
1707084000.0 12434.522 543 NA NA 1700 NA NA 1242 NA NA 924 NA NA
1707084000.0 12434.523 592 304 0 1773 1316 0 1331 254 83 914 284 102
1707084000.0 12434.524 615 263 NA 1749 1245 NA 1319 154 NA 870 264 NA
1707084000.0 12434.582 500 NA NA 1626 NA NA 1160 NA NA 900 NA NA
1707084000.0 12434.583 600 385 0 1732 1496 0 1263 342 134 908 353 162
1707084000.0 12434.586 550 NA NA 1715 NA NA 1149 NA NA 912 NA NA
1707084000.0 12434.587 573 385 0 1778 1505 0 1405 335 135 979 319 160
1707084000.0 12434.592 543 NA NA 1719 NA NA 1117 NA NA 912 NA NA
1707084000.0 12434.593 541 NA NA 1710 NA NA 1220 NA NA 918 NA NA
1707084000.0 12434.596 613 736 0 1763 1902 0 1248 1259 280 872 1067 305
1707084000.0 12434.597 613 750 0 1732 1891 0 1374 1260 279 889 1066 301
1707084000.0 12450.502 599 322 0 1712 1401 0 1224 258 107 844 307 131
1707084000.0 12450.503 572 333 0 1720 1403 0 1358 264 113 912 307 131
1707084000.0 12450.504 600 280 NA 1747 1362 NA 1290 156 NA 889 272 NA
1707084000.0 12450.506 541 NA NA 1682 NA NA 1114 NA NA 908 NA NA
1707084000.0 12450.507 602 332 0 1724 1390 0 1236 263 116 840 304 136
1707084000.0 12450.508 598 280 NA 1710 1350 NA 1240 155 NA 865 276 NA
1707084000.0 140.065506 564 327 0 1748 1408 0 1934 473 74 1100 331 99
1707084000.0 140.065512 558 299 0 1730 1335 0 1870 298 84 1044 292 110
1707084000.0 140.065522 561 302 0 1744 1296 0 1887 331 81 1078 299 105
