Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1707084000.0 11634.911 0 NA 0 NA 0 NA 0 NA
1707084000.0 134.705 NA 0 NA 0 NA 0 NA 0
1707084000.0 136.831 NA 0 NA 0 NA 0 NA 0
1707084000.0 140.55 NA 0 NA 0 NA 0 NA 0
1707084000.0 140.58 NA 0 NA 0 NA 0 NA 0
1707084000.0 150.0 0 NA 0 NA 0 NA 0 NA
1707084000.0 20034.0 0 NA 0 NA 0 NA 0 NA
1707084000.0 23234.0 0 NA 0 NA 0 NA 0 NA
1707084000.0 24434.0 0 NA 0 NA 0 NA 0 NA
1707084000.0 25034.9921 NA 0 NA 0 NA 0 NA 0
