Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707084000.0 124.1 354 NA NA NA NA NA NA NA 516 NA NA NA NA NA NA NA 831 NA NA NA NA NA NA NA 1107 NA NA NA NA NA NA NA
1707084000.0 124.2 362 NA NA NA NA NA NA NA 525 NA NA NA NA NA NA NA 908 NA NA NA NA NA NA NA 1260 NA NA NA NA NA NA NA
1707084000.0 124.4 355 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 834 NA NA NA NA NA NA NA 1171 NA NA NA NA NA NA NA
1707084000.0 124.5 354 NA NA NA NA NA NA NA 518 NA NA NA NA NA NA NA 833 NA NA NA NA NA NA NA 1021 NA NA NA NA NA NA NA
1707084000.0 124.6 313 NA NA NA NA NA NA NA 439 NA NA NA NA NA NA NA 837 NA NA NA NA NA NA NA 1215 NA NA NA NA NA NA NA
1707084000.0 12434.7 NA 464 628 0 NA NA NA NA NA 624 844 0 NA NA NA NA NA 2671 2532 586 NA NA NA NA NA 1355 2739 1032 NA NA NA NA
1707084000.0 12461.0 NA 436 596 0 162 NA NA NA NA 556 810 0 229 NA NA NA NA 2571 2236 507 349 NA NA NA NA 1380 2705 702 493 NA NA NA
1707084000.0 125.0 169 184 360 NA NA NA NA NA 289 259 498 NA NA NA NA NA 1508 316 1412 NA NA NA NA NA 1059 621 1684 NA NA NA NA NA
1707084000.0 126.0 133 177 351 NA NA NA NA NA 221 250 486 NA NA NA NA NA 887 299 1390 NA NA NA NA NA 778 538 2382 NA NA NA NA NA
1707084000.0 127.0 133 178 347 NA NA NA NA NA 212 252 494 NA NA NA NA NA 699 299 1349 NA NA NA NA NA 798 681 1624 NA NA NA NA NA
1707084000.0 128.0 130 178 346 NA NA NA NA NA 206 251 496 NA NA NA NA NA 503 293 1347 NA NA NA NA NA 751 503 1742 NA NA NA NA NA
1707084000.0 129.0 130 180 349 NA NA NA NA NA 211 246 501 NA NA NA NA NA 510 291 1329 NA NA NA NA NA 980 486 1647 NA NA NA NA NA
1707084000.0 130.0 134 177 348 NA NA NA NA NA 222 251 489 NA NA NA NA NA 534 293 1375 NA NA NA NA NA 624 404 2526 NA NA NA NA NA
1707084000.0 1306.0 NA 223 396 0 NA NA NA NA NA 313 541 0 NA NA NA NA NA 319 1358 312 NA NA NA NA NA 698 1575 397 NA NA NA NA
1707084000.0 1309.0 NA 234 415 0 NA NA NA NA NA 323 570 0 NA NA NA NA NA 341 1535 348 NA NA NA NA NA 459 1965 421 NA NA NA NA
1707084000.0 131.0 134 180 351 NA NA NA NA NA 212 255 490 NA NA NA NA NA 761 290 1382 NA NA NA NA NA 760 402 2316 NA NA NA NA NA
1707084000.0 1310.0 NA 234 410 0 NA NA NA NA NA 318 578 0 NA NA NA NA NA 344 1503 349 NA NA NA NA NA 699 1891 423 NA NA NA NA
1707084000.0 1311.0 NA 227 424 0 129 NA NA NA NA 314 572 0 190 NA NA NA NA 324 1124 363 263 NA NA NA NA 526 1743 545 383 NA NA NA
1707084000.0 1312.0 NA 233 410 0 NA NA NA NA NA 321 561 0 NA NA NA NA NA 342 1535 351 NA NA NA NA NA 525 1880 408 NA NA NA NA
1707084000.0 1314.0 NA 234 412 0 NA NA NA NA NA 325 571 0 NA NA NA NA NA 341 1494 364 NA NA NA NA NA 742 1858 532 NA NA NA NA
1707084000.0 1315.0 NA 225 398 0 NA NA NA NA NA 314 555 0 NA NA NA NA NA 314 1363 314 NA NA NA NA NA 461 1602 383 NA NA NA NA
1707084000.0 1316.0 NA 224 402 0 NA NA NA NA NA 307 569 0 NA NA NA NA NA 322 1398 325 NA NA NA NA NA 639 1612 462 NA NA NA NA
