Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1706479200.0 10824.502 301 181 0 1270 1195 0 956 238 119 752 441 145
1706479200.0 10824.503 305 188 0 1268 1205 0 909 242 123 737 306 159
1706479200.0 10824.504 303 126 NA 1252 1146 NA 878 114 NA 616 156 NA
1706479200.0 10824.506 303 179 0 1270 1193 0 972 240 121 724 318 161
1706479200.0 10824.507 306 189 0 1260 1204 0 890 237 123 595 265 150
1706479200.0 10824.508 307 126 NA 1264 1146 NA 878 113 NA 396 167 NA
1706479200.0 10824.512 307 152 0 1281 1128 0 896 190 87 681 248 131
1706479200.0 10824.513 305 155 0 1264 1134 0 929 193 87 724 262 129
1706479200.0 10824.514 307 117 NA 1272 1085 NA 886 84 NA 414 115 NA
1706479200.0 10824.522 306 146 0 1264 1085 0 930 183 95 704 369 124
1706479200.0 10824.523 305 147 0 1264 1092 0 910 187 89 691 250 135
1706479200.0 10824.524 307 113 NA 1273 1045 NA 853 83 NA 389 111 NA
1706479200.0 10824.582 305 224 0 1276 1279 0 940 283 137 726 351 166
1706479200.0 10824.583 306 237 0 1271 1292 0 958 303 141 725 479 171
1706479200.0 10824.586 307 224 0 1268 1286 0 948 286 133 742 463 160
1706479200.0 10824.587 305 237 0 1264 1282 0 952 300 140 723 350 186
1706479200.0 10824.592 303 557 0 1261 1656 0 926 1106 244 716 1050 279
1706479200.0 10824.593 304 568 0 1270 1669 0 943 1092 237 744 1003 258
1706479200.0 10824.596 305 558 0 1255 1633 0 928 1100 240 747 1064 262
1706479200.0 10824.597 304 567 0 1287 1692 0 974 1118 242 729 1077 265
1706479200.0 10842.502 298 176 0 1250 1192 0 901 233 113 679 440 138
1706479200.0 10842.503 302 185 0 1272 1197 0 869 226 118 507 266 150
1706479200.0 10842.504 301 128 NA 1256 1147 NA 851 106 NA 381 143 NA
1706479200.0 10842.506 301 178 0 1267 1198 0 891 231 112 678 317 157
1706479200.0 10842.507 303 183 0 1270 1201 0 885 236 121 685 308 151
1706479200.0 10842.508 300 127 NA 1262 1147 NA 838 103 NA 362 133 NA
1706479200.0 11634.502 282 185 0 1247 1216 0 290 228 116 451 410 138
1706479200.0 11634.503 282 193 0 1250 1208 0 283 230 125 425 290 166
1706479200.0 11634.504 282 130 NA 1236 1152 NA 259 94 NA 184 119 NA
1706479200.0 11634.506 283 182 0 1250 1213 0 298 226 119 267 236 156
1706479200.0 11634.507 285 193 0 1247 1200 0 279 224 122 252 240 150
1706479200.0 11634.508 284 129 NA 1249 1155 NA 270 94 NA 264 115 NA
1706479200.0 11634.512 282 153 0 1246 1133 0 275 191 88 430 380 115
1706479200.0 11634.513 285 157 0 1239 1133 0 292 189 86 266 214 114
1706479200.0 11634.514 283 115 NA 1239 1083 NA 264 83 NA 194 127 NA
1706479200.0 11634.522 282 149 0 1228 1092 0 281 189 91 442 372 117
1706479200.0 11634.523 284 152 0 1246 1094 0 284 181 87 246 198 112
1706479200.0 11634.524 284 113 NA 1240 1046 NA 259 83 NA 185 104 NA
1706479200.0 11634.582 283 232 0 1248 1288 0 281 285 135 467 434 167
1706479200.0 11634.583 282 245 0 1238 1305 0 276 285 144 448 439 172
1706479200.0 11634.586 286 233 0 1252 1293 0 278 277 137 461 425 162
1706479200.0 11634.587 286 245 0 1251 1302 0 283 278 139 273 262 169
1706479200.0 11634.592 282 557 0 1245 1644 0 282 1085 241 476 1035 266
1706479200.0 11634.593 283 564 0 1250 1654 0 276 1087 230 467 995 253
1706479200.0 11634.596 284 556 0 1242 1624 0 278 1113 241 460 1057 262
1706479200.0 11634.597 284 568 0 1236 1668 0 291 1124 231 448 1001 256
1706479200.0 11650.502 278 185 0 1238 1214 0 271 223 117 448 404 142
1706479200.0 11650.503 280 192 0 1242 1201 0 280 223 120 280 281 164
1706479200.0 11650.504 279 128 NA 1247 1156 NA 262 97 NA 274 122 NA
1706479200.0 11650.506 279 183 0 1242 1203 0 265 216 115 323 233 144
1706479200.0 11650.507 279 193 0 1255 1210 0 277 217 122 281 236 147
1706479200.0 11650.508 276 131 NA 1233 1162 NA 250 96 NA 203 123 NA
1706479200.0 12434.502 486 206 0 1579 1239 0 1521 262 119 944 286 148
1706479200.0 12434.503 482 216 0 1551 1236 0 1418 274 126 896 330 169
1706479200.0 12434.504 489 162 NA 1574 1188 NA 1325 147 NA 697 180 NA
1706479200.0 12434.506 487 207 0 1559 1235 0 1393 267 126 923 287 152
1706479200.0 12434.507 487 214 0 1577 1235 0 1401 264 127 940 292 159
1706479200.0 12434.508 486 162 NA 1566 1193 NA 1312 149 NA 654 180 NA
1706479200.0 12434.512 484 187 0 1562 1170 0 1378 243 87 899 286 115
1706479200.0 12434.513 483 188 0 1558 1165 0 1394 247 89 933 278 118
1706479200.0 12434.514 488 149 NA 1567 1120 NA 1299 135 NA 611 165 NA
1706479200.0 12434.522 489 183 0 1573 1126 0 1422 257 95 896 327 136
1706479200.0 12434.523 490 183 0 1571 1134 0 1377 256 90 912 277 116
1706479200.0 12434.524 487 145 NA 1570 1081 NA 1299 130 NA 616 151 NA
1706479200.0 12434.582 488 253 0 1547 1316 0 1314 323 134 660 298 167
1706479200.0 12434.583 484 264 0 1573 1312 0 1376 341 142 905 322 175
1706479200.0 12434.586 485 254 0 1561 1314 0 1322 323 137 672 302 162
