Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1707084000.0 12434.502 500 209 0 1605 1247 0 1258 285 112 916 307 133
1707084000.0 12434.503 504 220 0 1598 1267 0 1311 290 122 983 314 144
1707084000.0 12434.504 500 165 NA 1608 1210 NA 1241 151 NA 950 238 NA
1707084000.0 12434.506 499 209 0 1589 1261 0 1319 288 119 985 313 140
1707084000.0 12434.507 500 221 0 1599 1265 0 1277 295 124 916 318 149
1707084000.0 12434.508 505 166 NA 1611 1218 NA 1337 149 NA 1021 238 NA
1707084000.0 12434.512 499 188 0 1607 1194 0 1293 265 87 971 291 114
1707084000.0 12434.513 495 193 0 1595 1190 0 1242 276 85 927 307 105
1707084000.0 12434.514 503 152 NA 1611 1150 NA 1295 139 NA 940 227 NA
1707084000.0 12434.522 505 186 0 1606 1159 0 1256 271 93 938 287 127
1707084000.0 12434.523 501 187 0 1602 1167 0 1273 282 88 872 298 116
1707084000.0 12434.524 502 148 NA 1610 1111 NA 1247 141 NA 949 227 NA
1707084000.0 12434.582 500 255 0 1609 1334 0 1294 346 131 958 338 166
1707084000.0 12434.583 476 NA NA 1575 NA NA 1218 NA NA 950 NA NA
1707084000.0 12434.586 472 NA NA 1561 NA NA 1160 NA NA 966 NA NA
1707084000.0 12434.587 500 272 0 1599 1353 0 1270 355 137 866 338 172
1707084000.0 12434.592 494 628 0 1599 1752 0 1382 1262 282 904 1129 306
1707084000.0 12434.593 502 640 0 1587 1751 0 1325 1300 281 971 1139 303
1707084000.0 12434.596 469 NA NA 1574 NA NA 1137 NA NA 939 NA NA
1707084000.0 12434.597 504 637 0 1612 1762 0 1235 1299 281 919 1128 306
1707084000.0 12450.502 489 206 0 1599 1255 0 1234 274 109 938 301 132
1707084000.0 12450.503 463 NA NA 1572 NA NA 1152 NA NA 967 NA NA
1707084000.0 12450.504 485 165 NA 1593 1207 NA 1284 143 NA 939 232 NA
1707084000.0 12450.506 481 208 0 1598 1255 0 1227 276 116 898 300 141
1707084000.0 12450.507 468 217 0 1575 1258 0 1249 283 128 899 307 155
1707084000.0 12450.508 484 166 NA 1593 1207 NA 1250 143 NA 932 233 NA
1707084000.0 141.008506 448 217 0 1595 1286 0 1989 527 79 1167 347 114
1707084000.0 141.008507 447 220 0 1594 1305 0 1960 712 84 1226 391 118
1707084000.0 141.008508 450 168 NA 1600 1229 NA 1946 156 NA 1124 218 NA
1707084000.0 141.008512 449 186 0 1622 1191 0 1992 290 90 1196 283 125
1707084000.0 141.008513 447 197 0 1597 1190 0 1930 338 98 1117 293 135
1707084000.0 141.008514 447 154 NA 1601 1147 NA 1979 147 NA 1227 174 NA
1707084000.0 141.008522 447 192 0 1594 1167 0 1981 304 87 1193 278 121
1707084000.0 141.008523 451 192 0 1610 1168 0 1935 354 90 1242 292 125
1707084000.0 141.008524 448 151 NA 1602 1112 NA 1950 144 NA 1133 204 NA
