Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1706396400.0 1.0 75 98 151 NA NA NA NA NA 96 146 183 NA NA NA NA NA 1341 237 479 NA NA NA NA NA 1364 263 523 NA NA NA NA NA
1706396400.0 10.0 NA 107 230 0 NA NA NA NA NA 146 257 0 NA NA NA NA NA 1536 1387 383 NA NA NA NA NA 2002 1421 460 NA NA NA NA
1706396400.0 1000.0 NA 252 151 0 60 NA NA NA NA 283 181 0 78 NA NA NA NA 1757 399 336 101 NA NA NA NA 1814 460 359 124 NA NA NA
1706396400.0 1001.0 NA 223 191 0 0 0 0 0 NA 249 218 0 0 0 0 0 NA 1265 246 4 40 258 27 262 NA 1338 279 10 46 268 42 273
1706396400.0 1002.0 NA 246 80 NA NA NA NA NA NA 275 99 NA NA NA NA NA NA 1552 120 NA NA NA NA NA NA 1620 127 NA NA NA NA NA
1706396400.0 10021.0 NA 111 157 0 NA NA NA NA NA 176 179 0 NA NA NA NA NA 425 456 159 NA NA NA NA NA 498 562 173 NA NA NA NA
1706396400.0 10023.0 NA 111 158 0 NA NA NA NA NA 176 181 0 NA NA NA NA NA 376 315 162 NA NA NA NA NA 545 391 173 NA NA NA NA
1706396400.0 10024.0 NA 117 161 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 442 434 186 NA NA NA NA NA 517 528 202 NA NA NA NA
1706396400.0 10025.0 NA 112 158 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 393 340 169 NA NA NA NA NA 454 430 181 NA NA NA NA
1706396400.0 10026.0 NA 117 162 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 446 490 187 NA NA NA NA NA 528 571 225 NA NA NA NA
1706396400.0 1003.0 NA 209 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 2000 221 NA NA NA NA NA NA 2085 238 NA NA NA NA NA
1706396400.0 1004.0 NA 239 153 0 0 0 0 NA NA 267 179 0 0 0 0 NA NA 714 128 4 38 254 262 NA NA 780 144 13 44 262 269 NA
1706396400.0 101.0 106 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 662 NA NA NA NA NA NA NA 670 NA NA NA NA NA NA NA
1706396400.0 102.0 106 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 483 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA
1706396400.0 10224.0 NA 150 233 0 NA NA NA NA NA 191 277 0 NA NA NA NA NA 1912 1668 205 NA NA NA NA NA 3681 2519 230 NA NA NA NA
