Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1707001200.0 1312.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1317.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1318.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 132.0 72 102 222 NA NA NA NA NA 94 148 254 NA NA NA NA NA 1974 282 344 NA NA NA NA NA 2025 308 373 NA NA NA NA NA
1707001200.0 1325.0 NA 193 286 0 90 NA NA NA NA 224 316 0 109 NA NA NA NA 504 1059 1273 106 NA NA NA NA 588 1144 1303 170 NA NA NA
1707001200.0 1327.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 133.0 80 104 222 NA NA NA NA NA 101 148 254 NA NA NA NA NA 4454 304 478 NA NA NA NA NA 4534 333 509 NA NA NA NA NA
1707001200.0 1333.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1335.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1336.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1339.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 134.0 NA 249 51 0 NA NA NA NA NA 273 70 0 NA NA NA NA NA 1953 5 6 NA NA NA NA NA 2014 12 12 NA NA NA NA
1707001200.0 134.701 NA 57 272 0 NA NA NA NA NA 80 306 0 NA NA NA NA NA 117 3349 378 NA NA NA NA NA 368 3477 391 NA NA NA NA
1707001200.0 134.702 NA 57 255 0 NA NA NA NA NA 77 299 0 NA NA NA NA NA 144 4564 356 NA NA NA NA NA 158 4678 369 NA NA NA NA
1707001200.0 134.703 NA 58 273 0 NA NA NA NA NA 82 313 0 NA NA NA NA NA 132 4297 375 NA NA NA NA NA 142 4416 385 NA NA NA NA
1707001200.0 134.704 NA 56 262 0 NA NA NA NA NA 78 302 0 NA NA NA NA NA 141 4371 373 NA NA NA NA NA 168 4771 391 NA NA NA NA
1707001200.0 134.705 NA 59 273 0 NA NA NA NA NA 82 315 0 NA NA NA NA NA 143 4805 383 NA NA NA NA NA 184 5209 398 NA NA NA NA
1707001200.0 134.706 NA 59 272 0 NA NA NA NA NA 81 311 0 NA NA NA NA NA 145 4942 385 NA NA NA NA NA 180 5356 398 NA NA NA NA
1707001200.0 134.707 NA 59 256 0 NA NA NA NA NA 81 304 0 NA NA NA NA NA 144 4330 373 NA NA NA NA NA 156 4458 393 NA NA NA NA
1707001200.0 134.708 NA 58 248 0 NA NA NA NA NA 79 306 0 NA NA NA NA NA 138 4129 364 NA NA NA NA NA 152 4252 383 NA NA NA NA
1707001200.0 134.709 NA 60 271 0 NA NA NA NA NA 81 313 0 NA NA NA NA NA 134 4359 353 NA NA NA NA NA 146 4486 362 NA NA NA NA
1707001200.0 134.71 NA 53 260 0 NA NA NA NA NA 74 294 0 NA NA NA NA NA 119 2857 364 NA NA NA NA NA 147 2982 381 NA NA NA NA
1707001200.0 134.801 NA 57 262 0 NA NA NA NA NA 79 307 0 NA NA NA NA NA 131 3164 348 NA NA NA NA NA 146 3281 359 NA NA NA NA
1707001200.0 134.802 NA 57 256 0 NA NA NA NA NA 81 304 0 NA NA NA NA NA 171 5505 332 NA NA NA NA NA 186 5645 346 NA NA NA NA
1707001200.0 134.803 NA 57 260 0 NA NA NA NA NA 82 307 0 NA NA NA NA NA 164 4851 351 NA NA NA NA NA 174 4970 360 NA NA NA NA
1707001200.0 134.804 NA 57 268 0 NA NA NA NA NA 81 310 0 NA NA NA NA NA 167 5410 357 NA NA NA NA NA 176 5525 374 NA NA NA NA
1707001200.0 134.805 NA 59 267 0 NA NA NA NA NA 83 323 0 NA NA NA NA NA 167 5316 360 NA NA NA NA NA 179 5428 370 NA NA NA NA
1707001200.0 134.806 NA 58 264 0 NA NA NA NA NA 80 315 0 NA NA NA NA NA 175 5969 339 NA NA NA NA NA 191 6091 354 NA NA NA NA
1707001200.0 134.807 NA 100 283 0 NA NA NA NA NA 141 329 0 NA NA NA NA NA 544 5501 371 NA NA NA NA NA 569 5625 379 NA NA NA NA
1707001200.0 134.808 NA 100 287 0 NA NA NA NA NA 141 337 0 NA NA NA NA NA 555 5574 385 NA NA NA NA NA 599 5701 403 NA NA NA NA
1707001200.0 134.809 NA 57 264 0 NA NA NA NA NA 79 307 0 NA NA NA NA NA 166 5005 342 NA NA NA NA NA 181 5135 357 NA NA NA NA
1707001200.0 134.81 NA 57 263 0 NA NA NA NA NA 80 307 0 NA NA NA NA NA 166 5079 335 NA NA NA NA NA 179 5181 345 NA NA NA NA
1707001200.0 134.811 NA 58 262 0 NA NA NA NA NA 80 308 0 NA NA NA NA NA 168 5448 357 NA NA NA NA NA 184 5561 368 NA NA NA NA
1707001200.0 134.812 NA 55 258 0 NA NA NA NA NA 77 293 0 NA NA NA NA NA 136 3129 346 NA NA NA NA NA 148 3254 360 NA NA NA NA
1707001200.0 134.901 NA 56 258 0 NA NA NA NA NA 79 299 0 NA NA NA NA NA 139 3184 356 NA NA NA NA NA 151 3293 369 NA NA NA NA
1707001200.0 134.902 NA 59 250 0 NA NA NA NA NA 83 300 0 NA NA NA NA NA 157 4187 360 NA NA NA NA NA 169 4332 386 NA NA NA NA
1707001200.0 134.903 NA 61 260 0 NA NA NA NA NA 83 293 0 NA NA NA NA NA 151 3797 370 NA NA NA NA NA 172 3926 383 NA NA NA NA
1707001200.0 134.904 NA 58 267 0 NA NA NA NA NA 81 300 0 NA NA NA NA NA 154 4321 364 NA NA NA NA NA 165 4416 373 NA NA NA NA
1707001200.0 134.905 NA 59 262 0 NA NA NA NA NA 81 294 0 NA NA NA NA NA 152 3766 353 NA NA NA NA NA 175 3876 404 NA NA NA NA
1707001200.0 134.906 NA 57 259 0 NA NA NA NA NA 81 297 0 NA NA NA NA NA 154 4206 343 NA NA NA NA NA 166 4321 358 NA NA NA NA
1707001200.0 134.907 NA 99 266 0 NA NA NA NA NA 141 314 0 NA NA NA NA NA 431 3918 370 NA NA NA NA NA 456 4022 380 NA NA NA NA
1707001200.0 134.908 NA 103 265 0 NA NA NA NA NA 144 313 0 NA NA NA NA NA 438 3974 358 NA NA NA NA NA 454 4082 371 NA NA NA NA
1707001200.0 134.909 NA 59 259 0 NA NA NA NA NA 82 293 0 NA NA NA NA NA 150 3954 357 NA NA NA NA NA 158 4081 371 NA NA NA NA
1707001200.0 134.91 NA 58 258 0 NA NA NA NA NA 81 290 0 NA NA NA NA NA 149 3616 354 NA NA NA NA NA 162 3736 394 NA NA NA NA
1707001200.0 134.911 NA 58 261 0 NA NA NA NA NA 81 296 0 NA NA NA NA NA 153 3837 351 NA NA NA NA NA 167 3959 361 NA NA NA NA
1707001200.0 134.912 NA 55 261 0 NA NA NA NA NA 77 291 0 NA NA NA NA NA 142 2841 356 NA NA NA NA NA 151 2978 370 NA NA NA NA
1707001200.0 134.99601 NA 58 266 0 NA NA NA NA NA 80 307 0 NA NA NA NA NA 172 5827 340 NA NA NA NA NA 184 5942 348 NA NA NA NA
1707001200.0 134.99602 NA 57 261 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 153 3592 376 NA NA NA NA NA 166 3789 388 NA NA NA NA
1707001200.0 134.99603 NA 58 262 0 NA NA NA NA NA 81 310 0 NA NA NA NA NA 170 4829 353 NA NA NA NA NA 186 4947 366 NA NA NA NA
1707001200.0 134.99901 NA 58 263 0 NA NA NA NA NA 81 297 0 NA NA NA NA NA 154 3687 372 NA NA NA NA NA 170 3784 387 NA NA NA NA
1707001200.0 1343.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 1347.0 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1707001200.0 135.1 261 0 133 NA NA NA NA NA 302 0 157 NA NA NA NA NA 663 240 371 NA NA NA NA NA 731 255 415 NA NA NA NA NA
1707001200.0 135.12 256 0 131 NA NA NA NA NA 297 0 157 NA NA NA NA NA 566 231 338 NA NA NA NA NA 642 243 385 NA NA NA NA NA
