Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1707084000.0 1306.0 NA 226 399 0 NA NA NA 316 544 0 NA NA NA 311 1390 335 NA NA NA 414 1617 436 NA NA
1707084000.0 1309.0 NA 234 417 0 NA NA NA 319 588 0 NA NA NA 354 1550 356 NA NA NA 619 1698 439 NA NA
1707084000.0 131.0 136 180 355 NA NA NA 215 254 509 NA NA NA 812 296 1399 NA NA NA 789 365 1600 NA NA NA
1707084000.0 1310.0 NA 236 416 0 NA NA NA 319 581 0 NA NA NA 340 1510 360 NA NA NA 559 1702 450 NA NA
1707084000.0 1311.0 NA 228 426 0 129 NA NA 317 605 0 196 NA NA 328 1143 375 272 NA NA 498 1517 444 610 NA
1707084000.0 1312.0 NA 233 415 0 NA NA NA 325 575 0 NA NA NA 357 1551 366 NA NA NA 1059 1666 445 NA NA
1707084000.0 1313.0 NA 238 426 0 NA NA NA 325 601 0 NA NA NA 321 1739 357 NA NA NA 801 2124 470 NA NA
1707084000.0 1314.0 NA 234 400 0 NA NA NA 320 579 0 NA NA NA 336 1556 368 NA NA NA 406 1573 576 NA NA
1707084000.0 1316.0 NA 226 405 0 NA NA NA 314 548 0 NA NA NA 324 1465 337 NA NA NA 604 2616 548 NA NA
1707084000.0 1319.0 NA 226 400 0 NA NA NA 317 553 0 NA NA NA 324 1433 330 NA NA NA 515 2195 429 NA NA
1707084000.0 132.0 163 185 367 NA NA NA 281 256 498 NA NA NA 1750 332 1515 NA NA NA 951 471 1799 NA NA NA
1707084000.0 1323.0 NA 225 382 0 NA NA NA 310 547 0 NA NA NA 324 1424 329 NA NA NA 752 2863 424 NA NA
1707084000.0 1324.0 NA 235 416 0 NA NA NA 319 586 0 NA NA NA 343 1573 375 NA NA NA 619 2238 539 NA NA
1707084000.0 1325.1 NA 224 239 0 NA NA NA 316 388 0 NA NA NA 353 602 333 NA NA NA 379 835 426 NA NA
1707084000.0 1325.2 NA 236 416 0 NA NA NA 323 563 0 NA NA NA 349 1588 354 NA NA NA 429 2658 443 NA NA
1707084000.0 1325.3 NA 236 231 0 NA NA NA 329 377 0 NA NA NA 349 626 334 NA NA NA 447 1139 481 NA NA
1707084000.0 1325.4 NA 236 418 0 NA NA NA 328 579 0 NA NA NA 353 1607 377 NA NA NA 734 2111 624 NA NA
1707084000.0 1326.0 NA 231 411 0 NA NA NA 325 556 0 NA NA NA 335 1457 347 NA NA NA 411 1718 420 NA NA
1707084000.0 1327.0 NA 231 410 0 NA NA NA 319 576 0 NA NA NA 330 1452 348 NA NA NA 539 1692 435 NA NA
1707084000.0 1328.0 NA 200 418 0 NA NA NA 326 584 0 NA NA NA 354 1532 365 NA NA NA 565 1793 465 NA NA
1707084000.0 1332.0 NA 236 373 0 NA NA NA 331 573 0 NA NA NA 341 1516 361 NA NA NA 731 2635 492 NA NA
1707084000.0 1334.0 NA 233 414 0 NA NA NA 318 579 0 NA NA NA 342 1509 355 NA NA NA 623 2153 430 NA NA
1707084000.0 1335.0 NA 230 409 0 NA NA NA 322 572 0 NA NA NA 330 1463 354 NA NA NA 700 1862 551 NA NA
1707084000.0 1337.0 NA 246 434 0 NA NA NA 328 583 0 NA NA NA 381 1944 370 NA NA NA 394 2805 428 NA NA
1707084000.0 1339.0 NA 238 391 0 NA NA NA 330 574 0 NA NA NA 360 1737 368 NA NA NA 406 1776 548 NA NA
1707084000.0 134.0 NA 376 89 0 NA NA NA 510 153 0 NA NA NA 2578 149 76 NA NA NA 3328 341 241 NA NA
1707084000.0 134.905 NA 106 410 0 NA NA NA 181 577 0 NA NA NA 162 3669 306 NA NA NA 269 2644 506 NA NA
1707084000.0 134.99602 NA 106 405 0 NA NA NA 180 580 0 NA NA NA 166 3408 306 NA NA NA 314 2511 558 NA NA
1707084000.0 1340.0 NA 228 404 0 NA NA NA 317 555 0 NA NA NA 331 1422 356 NA NA NA 492 1636 516 NA NA
1707084000.0 1341.0 NA 241 425 0 NA NA NA 325 587 0 NA NA NA 375 1860 367 NA NA NA 421 2030 455 NA NA
1707084000.0 1343.0 NA 233 415 0 NA NA NA 328 575 0 NA NA NA 358 1541 366 NA NA NA 801 1668 413 NA NA
1707084000.0 1345.0 NA 233 403 0 NA NA NA 317 580 0 NA NA NA 353 1578 354 NA NA NA 647 2900 414 NA NA
1707084000.0 1347.0 NA 234 414 0 NA NA NA 327 575 0 NA NA NA 347 1486 353 NA NA NA 601 1711 424 NA NA
1707084000.0 1348.0 NA 229 366 0 NA NA NA 314 562 0 NA NA NA 331 1459 367 NA NA NA 653 2536 554 NA NA
1707084000.0 1349.0 NA 231 410 0 NA NA NA 327 559 0 NA NA NA 348 1470 351 NA NA NA 893 1744 407 NA NA
1707084000.0 135.1 427 0 197 168 NA NA 574 0 284 251 NA NA 892 255 597 394 NA NA 1289 429 1152 436 NA NA
1707084000.0 135.14 429 0 198 168 NA NA 583 0 295 253 NA NA 883 248 607 395 NA NA 1232 411 1162 465 NA NA
1707084000.0 135.3 352 0 198 162 NA NA 491 0 290 243 NA NA 765 229 579 376 NA NA 841 550 1077 443 NA NA
1707084000.0 135.4 424 0 198 164 NA NA 578 0 293 253 NA NA 827 239 579 387 NA NA 1201 490 885 486 NA NA
1707084000.0 135.5 411 0 197 165 NA NA 573 0 291 251 NA NA 827 240 579 384 NA NA 1201 420 1107 416 NA NA
1707084000.0 135.8 182 NA NA NA NA NA 292 NA NA NA NA NA 644 NA NA NA NA NA 391 NA NA NA NA NA
1707084000.0 1350.0 NA 232 409 0 NA NA NA 328 557 0 NA NA NA 339 1478 360 NA NA NA 783 2086 453 NA NA
1707084000.0 1351.0 NA 233 410 0 NA NA NA 328 569 0 NA NA NA 336 1463 348 NA NA NA 418 1977 426 NA NA
1707084000.0 1352.0 NA 229 375 0 NA NA NA 309 565 0 NA NA NA 331 1455 365 NA NA NA 382 1645 650 NA NA
1707084000.0 1354.0 NA 232 410 0 NA NA NA 321 593 0 NA NA NA 343 1545 366 NA NA NA 789 1616 544 NA NA
1707084000.0 1355.0 NA 236 420 0 NA NA NA 326 578 0 NA NA NA 369 1544 366 NA NA NA 679 1784 599 NA NA
1707084000.0 136.72411 NA 254 0 NA NA NA NA 351 0 NA NA NA NA 1502 165 NA NA NA NA 1331 307 NA NA NA
1707084000.0 136.816 NA 189 548 0 NA NA NA 266 844 0 NA NA NA 386 11882 340 NA NA NA 548 4421 435 NA NA
1707084000.0 136.83 NA 188 553 0 NA NA NA 270 811 0 NA NA NA 450 12510 334 NA NA NA 598 4630 386 NA NA
1707084000.0 136.834 NA 188 505 0 NA NA NA 269 844 0 NA NA NA 381 12444 295 NA NA NA 548 4652 366 NA NA
1707084000.0 136.8562 NA 177 436 0 NA NA NA 254 630 0 NA NA NA 237 1808 320 NA NA NA 563 1902 505 NA NA
1707084000.0 136.865 NA 189 503 0 NA NA NA 275 795 0 NA NA NA 359 12350 260 NA NA NA 1232 5009 356 NA NA
1707084000.0 136.9 NA 262 241 343 209 NA NA 400 355 494 291 NA NA 5891 955 1230 903 NA NA 8081 1120 1415 1526 NA
1707084000.0 1360.0 148 215 409 0 NA NA 246 293 565 0 NA NA 2241 266 1420 360 NA NA 3225 452 1599 501 NA NA
1707084000.0 1364.0 NA 231 412 0 NA NA NA 316 576 0 NA NA NA 341 1484 359 NA NA NA 775 2331 538 NA NA
1707084000.0 1365.0 NA 235 413 0 NA NA NA 322 575 0 NA NA NA 358 1526 363 NA NA NA 770 2775 476 NA NA
1707084000.0 1366.0 NA 233 413 0 NA NA NA 318 568 0 NA NA NA 351 1491 352 NA NA NA 727 2171 400 NA NA
1707084000.0 138.3 NA 80 504 0 NA NA NA 133 685 0 NA NA NA 64 39236 310 NA NA NA 309 16428 364 NA NA
1707084000.0 138.4 NA 387 0 NA NA NA NA 585 0 NA NA NA NA 1378 328 NA NA NA NA 1483 369 NA NA NA
1707084000.0 139.003 NA 195 366 0 NA NA NA 283 510 0 NA NA NA 276 1827 178 NA NA NA 255 2691 454 NA NA
1707084000.0 139901.0 NA 233 415 0 NA NA NA 323 583 0 NA NA NA 344 1523 377 NA NA NA 530 1751 603 NA NA
1707084000.0 139902.0 NA 239 421 0 NA NA NA 336 584 0 NA NA NA 360 1592 369 NA NA NA 608 1780 525 NA NA
1707084000.0 140.003 NA 193 503 0 NA NA NA 276 728 0 NA NA NA 289 1986 297 NA NA NA 266 2632 363 NA NA
1707084000.0 140.113 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 153 1861 848 NA NA NA 307 2393 937 NA NA
1707084000.0 140.201 NA 241 NA NA NA NA NA 345 NA NA NA NA NA 1381 NA NA NA NA NA 819 NA NA NA NA
1707084000.0 140.202 NA 270 NA NA NA NA NA 373 NA NA NA NA NA 1869 NA NA NA NA NA 1628 NA NA NA NA
1707084000.0 140.57 NA 540 0 NA NA NA NA 790 0 NA NA NA NA 2029 318 NA NA NA NA 1625 393 NA NA NA
1707084000.0 140.6 NA 103 340 0 NA NA NA 155 614 0 NA NA NA 106 894 286 NA NA NA 159 1128 346 NA NA
1707084000.0 141.004 NA 396 631 0 NA NA NA 524 834 0 NA NA NA 1215 4096 371 NA NA NA 998 3513 586 NA NA
1707084000.0 141.009 NA 0 0 0 NA NA NA 0 0 0 NA NA NA 867 4312 1055 NA NA NA 717 4175 1468 NA NA
1707084000.0 141.043 NA 386 709 0 NA NA NA 590 1032 0 NA NA NA 3601 23844 421 NA NA NA 1795 8468 737 NA NA
1707084000.0 141.045 NA 434 703 0 NA NA NA 620 1030 0 NA NA NA 3949 26583 373 NA NA NA 1564 9200 442 NA NA
1707084000.0 144.6 NA 355 NA NA NA NA NA 515 NA NA NA NA NA 2649 NA NA NA NA NA 3315 NA NA NA NA
1707084000.0 145.0 140 184 264 0 NA NA 204 260 398 0 NA NA 1451 249 692 205 NA NA 1573 440 854 249 NA NA
1707084000.0 148.0 106 284 483 0 NA NA 251 363 688 0 NA NA 3234 590 1949 429 NA NA 4710 681 2426 624 NA NA
1707084000.0 158.1 NA 274 502 0 NA NA NA 368 699 0 NA NA NA 391 1531 458 NA NA NA 551 1918 558 NA NA
1707084000.0 158.2 NA 269 497 0 NA NA NA 362 676 0 NA NA NA 374 1478 457 NA NA NA 424 1631 714 NA NA
1707084000.0 158.3 NA 273 496 0 NA NA NA 366 669 0 NA NA NA 382 1509 450 NA NA NA 436 1968 515 NA NA
1707084000.0 158.5 132 212 455 117 0 NA 213 302 667 185 0 NA 851 234 1394 248 444 NA 910 307 1817 551 666 NA
1707084000.0 159.0 154 224 462 86 0 NA 233 303 657 179 0 NA 1994 271 1245 234 427 NA 2762 308 1537 398 517 NA
1707084000.0 159.03 141 209 112 278 195 NA 221 290 155 445 266 NA 1139 241 140 496 410 NA 1429 325 329 692 469 NA
1707084000.0 159.4 155 260 450 0 NA NA 235 344 690 0 NA NA 1983 373 1326 441 NA NA 1593 388 1834 676 NA NA
1707084000.0 160.02 146 228 117 459 119 0 227 315 161 670 184 0 1464 312 141 1157 222 433 2072 630 366 1357 283 647
1707084000.0 160.03 225 337 202 314 212 NA 339 468 283 531 278 NA 9751 1210 194 1017 536 NA 9566 1174 251 996 527 NA
1707084000.0 160.501 140 220 112 452 182 NA 233 306 158 725 253 NA 1049 285 127 1124 392 NA 1024 311 196 1889 435 NA
1707084000.0 2017.11 499 0 206 169 NA NA 659 0 279 255 NA NA 1092 280 717 402 NA NA 1267 433 1048 455 NA NA
1707084000.0 2017.12 483 0 165 166 NA NA 617 0 290 255 NA NA 904 270 595 394 NA NA 1203 436 1046 589 NA NA
1707084000.0 2017.13 467 0 NA NA NA NA 659 0 NA NA NA NA 945 367 NA NA NA NA 928 535 NA NA NA NA
1707084000.0 2017.2 414 0 172 164 NA NA 535 0 277 252 NA NA 803 247 569 379 NA NA 851 438 898 623 NA NA
1707084000.0 2017.3 415 0 198 166 NA NA 570 0 275 256 NA NA 812 251 582 377 NA NA 884 441 976 488 NA NA
1707084000.0 2017.4 481 0 199 166 NA NA 638 0 297 254 NA NA 887 265 587 383 NA NA 1190 460 1083 434 NA NA
1707084000.0 2017.8 222 NA NA NA NA NA 324 NA NA NA NA NA 664 NA NA NA NA NA 405 NA NA NA NA NA
1707084000.0 2018.13 505 0 NA NA NA NA 662 0 NA NA NA NA 982 360 NA NA NA NA 1317 404 NA NA NA NA
1707084000.0 2018.2 414 0 200 167 NA NA 544 0 274 252 NA NA 861 254 564 379 NA NA 1478 744 912 431 NA NA
1707084000.0 2018.3 418 0 195 168 NA NA 548 0 275 249 NA NA 835 252 577 389 NA NA 936 491 975 470 NA NA
1707084000.0 2018.5 490 0 197 169 NA NA 630 0 276 249 NA NA 914 267 584 389 NA NA 1283 478 1075 435 NA NA
1707084000.0 2018.6 492 0 200 170 NA NA 649 0 285 252 NA NA 965 276 609 400 NA NA 1241 437 1213 471 NA NA
1707084000.0 2018.8 214 NA NA NA NA NA 317 NA NA NA NA NA 686 NA NA NA NA NA 503 NA NA NA NA NA
1707084000.0 24834.911 182 594 553 0 211 NA 275 802 732 0 307 NA 9322 5347 5599 1539 674 NA 4677 3392 3770 1727 1069 NA
1707084000.0 2500.01 NA 249 0 NA NA NA NA 366 0 NA NA NA NA 10686 149 NA NA NA NA 5027 274 NA NA NA
1707084000.0 2500.012 NA 261 0 NA NA NA NA 374 0 NA NA NA NA 13734 158 NA NA NA NA 5988 334 NA NA NA
1707084000.0 2500.312 NA 174 NA NA NA NA NA 248 NA NA NA NA NA 879 NA NA NA NA NA 644 NA NA NA NA
1707084000.0 2500.4 NA 204 0 NA NA NA NA 312 0 NA NA NA NA 8429 163 NA NA NA NA 3994 330 NA NA NA
