Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 12434.7 NA 457 610 0 NA NA NA NA 602 849 0 NA NA NA NA 2019 2467 545 NA NA NA NA 1283 2546 729 NA NA NA
1707084000.0 125.0 156 177 352 NA NA NA NA 296 270 499 NA NA NA NA 1554 312 1412 NA NA NA NA 985 330 1953 NA NA NA NA
1707084000.0 126.0 124 174 343 NA NA NA NA 229 260 495 NA NA NA NA 947 287 1334 NA NA NA NA 863 384 2023 NA NA NA NA
1707084000.0 127.0 123 171 341 NA NA NA NA 216 264 487 NA NA NA NA 688 296 1285 NA NA NA NA 675 771 1416 NA NA NA NA
1707084000.0 128.0 122 171 342 NA NA NA NA 216 264 488 NA NA NA NA 504 295 1280 NA NA NA NA 642 586 1500 NA NA NA NA
1707084000.0 129.0 124 171 340 NA NA NA NA 219 254 475 NA NA NA NA 507 291 1272 NA NA NA NA 538 542 1490 NA NA NA NA
1707084000.0 130.0 123 171 341 NA NA NA NA 224 259 499 NA NA NA NA 541 291 1336 NA NA NA NA 806 538 1766 NA NA NA NA
1707084000.0 1301.0 153 202 304 NA NA NA NA 267 306 453 NA NA NA NA 1150 332 876 NA NA NA NA 825 858 1129 NA NA NA NA
1707084000.0 1308.0 NA 200 240 94 0 NA NA NA 303 379 171 0 NA NA NA 271 433 161 199 NA NA NA 389 753 357 258 NA NA
1707084000.0 1311.0 NA 220 417 0 121 NA NA NA 332 598 0 206 NA NA NA 305 1048 364 248 NA NA NA 348 1158 441 435 NA NA
1707084000.0 1317.0 NA 217 395 0 157 NA NA NA 323 565 0 254 NA NA NA 316 1350 330 356 NA NA NA 570 1797 577 400 NA NA
1707084000.0 1318.0 NA 216 388 0 155 NA NA NA 324 558 0 252 NA NA NA 316 1334 328 346 NA NA NA 454 1745 489 441 NA NA
1707084000.0 132.0 151 178 356 NA NA NA NA 281 266 497 NA NA NA NA 1724 319 1429 NA NA NA NA 1092 391 1558 NA NA NA NA
1707084000.0 1320.0 NA 220 393 0 155 NA NA NA 324 559 0 255 NA NA NA 326 1379 323 357 NA NA NA 510 1798 386 656 NA NA
1707084000.0 1321.0 NA 219 395 0 156 NA NA NA 331 550 0 253 NA NA NA 327 1378 322 361 NA NA NA 725 1631 376 729 NA NA
1707084000.0 1325.0 NA 227 409 0 126 159 NA NA 338 574 0 202 253 NA NA 339 1505 357 276 376 NA NA 465 1587 705 582 473 NA
1707084000.0 1325.1 NA 194 239 0 NA NA NA NA 327 387 0 NA NA NA NA 344 577 295 NA NA NA NA 1498 1114 363 NA NA NA
1707084000.0 1325.91 NA 255 407 0 127 NA NA NA 358 577 0 203 NA NA NA 418 1553 357 255 NA NA NA 710 2183 552 420 NA NA
1707084000.0 1326.0 NA 222 400 0 NA NA NA NA 337 554 0 NA NA NA NA 335 1394 354 NA NA NA NA 560 1862 555 NA NA NA
1707084000.0 1329.0 NA 221 403 0 157 NA NA NA 333 572 0 258 NA NA NA 336 1439 343 356 NA NA NA 485 2026 533 435 NA NA
1707084000.0 1330.0 NA 224 434 0 156 NA NA NA 335 597 0 261 NA NA NA 344 1518 355 368 NA NA NA 441 2648 520 632 NA NA
1707084000.0 1335.0 NA 221 400 0 NA NA NA NA 330 556 0 NA NA NA NA 315 1382 332 NA NA NA NA 327 1778 402 NA NA NA
1707084000.0 1336.0 NA 224 411 0 NA NA NA NA 336 577 0 NA NA NA NA 356 2088 340 NA NA NA NA 404 1867 390 NA NA NA
1707084000.0 1338.0 NA 226 406 0 158 NA NA NA 334 571 0 257 NA NA NA 360 1513 358 383 NA NA NA 651 2078 614 614 NA NA
1707084000.0 134.0 NA 366 78 0 NA NA NA NA 520 155 0 NA NA NA NA 2515 127 68 NA NA NA NA 2133 208 163 NA NA NA
1707084000.0 134.71 NA 92 392 0 NA NA NA NA 172 562 0 NA NA NA NA 140 3108 305 NA NA NA NA 239 2520 402 NA NA NA
1707084000.0 134.801 NA 93 393 0 NA NA NA NA 180 559 0 NA NA NA NA 146 3248 306 NA NA NA NA 277 2545 546 NA NA NA
1707084000.0 134.901 NA 92 396 0 NA NA NA NA 177 554 0 NA NA NA NA 149 3312 307 NA NA NA NA 357 2496 537 NA NA NA
1707084000.0 134.99602 NA 94 396 0 NA NA NA NA 183 577 0 NA NA NA NA 150 3502 308 NA NA NA NA 217 2735 493 NA NA NA
1707084000.0 1340.0 NA 219 388 0 NA NA NA NA 320 560 0 NA NA NA NA 327 1362 334 NA NA NA NA 654 1932 442 NA NA NA
1707084000.0 1348.0 NA 221 361 0 NA NA NA NA 322 565 0 NA NA NA NA 328 1415 334 NA NA NA NA 574 2232 389 NA NA NA
