Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1706396400.0 1.0 72 95 151 NA NA NA NA NA 97 146 183 NA NA NA NA NA 1325 237 359 NA NA NA NA NA 1351 260 390 NA NA NA NA NA
1706396400.0 10.0 NA 108 230 0 NA NA NA NA NA 147 257 0 NA NA NA NA NA 1615 1413 351 NA NA NA NA NA 1655 1502 377 NA NA NA NA
1706396400.0 1000.0 NA 252 151 0 59 NA NA NA NA 284 181 0 79 NA NA NA NA 2125 453 340 98 NA NA NA NA 2179 505 358 167 NA NA NA
1706396400.0 1001.0 NA 223 191 0 0 0 0 0 NA 250 218 0 0 0 0 0 NA 1280 249 4 38 261 24 263 NA 1344 276 11 44 271 35 271
1706396400.0 1002.0 NA 245 80 NA NA NA NA NA NA 271 99 NA NA NA NA NA NA 1632 123 NA NA NA NA NA NA 1694 129 NA NA NA NA NA
1706396400.0 10021.0 NA 112 157 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 437 453 159 NA NA NA NA NA 502 514 180 NA NA NA NA
1706396400.0 10023.0 NA 111 158 0 NA NA NA NA NA 176 181 0 NA NA NA NA NA 380 320 166 NA NA NA NA NA 441 376 180 NA NA NA NA
1706396400.0 10024.0 NA 118 162 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 439 430 182 NA NA NA NA NA 507 498 196 NA NA NA NA
1706396400.0 10025.0 NA 112 158 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 398 336 169 NA NA NA NA NA 448 421 186 NA NA NA NA
1706396400.0 10026.0 NA 116 162 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 452 490 184 NA NA NA NA NA 546 582 199 NA NA NA NA
1706396400.0 1003.0 NA 196 0 NA NA NA NA NA NA 247 0 NA NA NA NA NA NA 2016 232 NA NA NA NA NA NA 2079 252 NA NA NA NA NA
1706396400.0 1004.0 NA 239 153 0 0 0 0 NA NA 267 180 0 0 0 0 NA NA 706 128 4 34 254 250 NA NA 741 138 20 45 263 262 NA
1706396400.0 101.0 107 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 729 NA NA NA NA NA NA NA 751 NA NA NA NA NA NA NA
1706396400.0 102.0 107 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 532 NA NA NA NA NA NA NA 540 NA NA NA NA NA NA NA
