Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1707084000.0 124.1 384 NA NA NA NA NA NA 516 NA NA NA NA NA NA 717 NA NA NA NA NA NA 871 NA NA NA NA NA NA
1707084000.0 124.2 405 NA NA NA NA NA NA 554 NA NA NA NA NA NA 774 NA NA NA NA NA NA 985 NA NA NA NA NA NA
1707084000.0 124.4 376 NA NA NA NA NA NA 508 NA NA NA NA NA NA 730 NA NA NA NA NA NA 972 NA NA NA NA NA NA
1707084000.0 124.5 380 NA NA NA NA NA NA 512 NA NA NA NA NA NA 729 NA NA NA NA NA NA 862 NA NA NA NA NA NA
1707084000.0 124.6 318 NA NA NA NA NA NA 426 NA NA NA NA NA NA 710 NA NA NA NA NA NA 867 NA NA NA NA NA NA
1707084000.0 12434.0 NA 454 627 0 203 NA NA NA 614 854 0 316 NA NA NA 2675 2527 582 356 NA NA NA 1316 2745 692 435 NA NA
1707084000.0 12434.7 NA 465 615 0 NA NA NA NA 598 863 0 NA NA NA NA 2673 2551 567 NA NA NA NA 1493 2802 710 NA NA NA
1707084000.0 12461.0 NA 438 595 0 164 NA NA NA 581 832 0 234 NA NA NA 2552 2231 504 337 NA NA NA 1279 2641 640 395 NA NA
1707084000.0 126.0 136 176 346 NA NA NA NA 227 252 501 NA NA NA NA 936 304 1368 NA NA NA NA 903 722 1558 NA NA NA NA
1707084000.0 127.0 133 179 351 NA NA NA NA 217 254 496 NA NA NA NA 711 293 1385 NA NA NA NA 918 411 1753 NA NA NA NA
1707084000.0 128.0 127 181 343 NA NA NA NA 210 255 498 NA NA NA NA 491 296 1374 NA NA NA NA 652 648 1816 NA NA NA NA
1707084000.0 129.0 132 179 347 NA NA NA NA 213 249 490 NA NA NA NA 499 294 1366 NA NA NA NA 625 546 1882 NA NA NA NA
1707084000.0 13.0 NA 193 363 0 NA NA NA NA 283 508 0 NA NA NA NA 282 1837 350 NA NA NA NA 450 2071 415 NA NA NA
1707084000.0 130.0 134 176 351 NA NA NA NA 214 255 486 NA NA NA NA 529 307 1386 NA NA NA NA 702 722 1898 NA NA NA NA
1707084000.0 1301.0 162 214 314 NA NA NA NA 265 306 448 NA NA NA NA 1287 330 941 NA NA NA NA 1090 569 1362 NA NA NA NA
1707084000.0 1306.0 NA 225 398 0 NA NA NA NA 309 560 0 NA NA NA NA 318 1351 322 NA NA NA NA 673 1717 459 NA NA NA
1707084000.0 1307.0 NA 218 254 104 0 NA NA NA 310 384 163 0 NA NA NA 294 534 166 203 NA NA NA 374 709 336 302 NA NA
1707084000.0 1308.0 NA 216 252 103 0 NA NA NA 308 375 162 0 NA NA NA 303 441 169 193 NA NA NA 1685 619 420 249 NA NA
